Scenario,Attribute,Process,Period,Region,Vintage,Timeslice,Pv
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_ID_US_OR,2020,OR,0,-,2.133
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MA_US_NH,2020,NH,0,-,2.464410851
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_OH_US_WV,2020,OH,0,-,4.583473
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_ID_US_OR,2020,ID,0,-,2.133
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MA_US_NH,2020,MA,0,-,2.464410851
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_ID_US_NV,2020,NV,0,-,0.863
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_OH_US_PA,2020,PA,0,-,5.745963308
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_ID_US_NV,2020,ID,0,-,0.863
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_LA_US_TX,2020,TX,0,-,5.423306732
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_OH_US_PA,2020,OH,0,-,5.745963308
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_ID_US_MT,2020,MT,0,-,4.357
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_LA_US_TX,2020,LA,0,-,5.423306732
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_ID_US_MT,2020,ID,0,-,4.357
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IA_US_WI,2020,WI,0,-,0.11139504563
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_LA_US_MS,2020,MS,0,-,5.296588
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IA_US_WI,2020,IA,0,-,0.11139504563
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AR_US_TX,2020,TX,0,-,0.3189668002
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AR_US_TX,2020,AR,0,-,0.3189668002
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_LA_US_MS,2020,LA,0,-,5.296588
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IA_US_SD,2020,SD,0,-,1.494105
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AR_US_TN,2020,TN,0,-,1.023337407
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AR_US_TN,2020,AR,0,-,1.023337407
